Brain Area,Function,Connected To,X Coordinate,Y Coordinate,Z Coordinate
Frontal Lobe,"Executive functions; motor skills; reasoning; planning; problem-solving; emotions; and social skills", Thalamus; Basal Ganglia; Limbic System; Parietal Lobe,10,20,30
Parietal Lobe,"Sensation; perception; spatial awareness; and the integration of sensory input", Frontal Lobe; Occipital Lobe; Temporal Lobe,15,25,35
Temporal Lobe,"Auditory processing; language comprehension; memory; and emotion", Frontal Lobe; Parietal Lobe; Occipital Lobe; Limbic System,20,30,40
Occipital Lobe,"Visual processing and interpretation", Parietal Lobe; Temporal Lobe,25,35,45
Cerebellum,"Coordination of voluntary movements; balance; and posture", Brain Stem; Spinal Cord; Thalamus,5,15,25
Brain Stem,"Vital autonomic functions such as breathing; heart rate; and blood pressure", Midbrain; Spinal Cord,0,10,20
Thalamus,"Sensory relay station; relaying signals between different parts of the brain", Frontal Lobe; Occipital Lobe; Temporal Lobe; Parietal Lobe; Limbic System,5,20,25
Hypothalamus,"Regulates body temperature; hunger; thirst; and various aspects of the autonomic nervous system", Thalamus; Limbic System,-5,15,30
Amygdala,"Emotion processing; particularly fear and pleasure responses", Hippocampus; Thalamus; Frontal Lobe; Temporal Lobe; Limbic System,-10,25,35
Hippocampus,"Formation of new memories and spatial navigation", Amygdala; Thalamus; Limbic System,-15,30,40
Basal Ganglia,"Motor control; procedural learning; and routine behaviors", Thalamus; Brain Stem; Limbic System,0,25,20
Cingulate Cortex,"Emotional and cognitive processing; attention; and autonomic functions", Limbic System; Frontal Lobe; Parietal Lobe; Thalamus,-5,30,25
Broca's Area,"Language production and speech", Wernicke's Area; Frontal Lobe; Limbic System,-10,35,30
Wernicke's Area,"Language comprehension", Broca's Area; Temporal Lobe,-15,40,35
Primary Motor Cortex,"Initiating and controlling voluntary movements", Frontal Lobe; Parietal Lobe; Thalamus,10,10,10
Primary Somatosensory Cortex,"Processes tactile sensory information; such as touch and pressure", Thalamus,15,15,15
Prefrontal Cortex,"Higher cognitive functions; decision-making; personality expression; and moderating social behavior", Frontal Lobe; Parietal Lobe; Limbic System; Thalamus,-10,-10,-10
Limbic System,"Regulation of emotions; memory; and arousal", Frontal Lobe; Temporal Lobe; Hypothalamus; Amygdala; Thalamus; Hippocampus,5,25,30
Spinal Cord,"Conduit for nerve signals between the brain and the rest of the body", Brain Stem,0,5,10
Midbrain,"Contributes to auditory and visual processing; motor control", Brain Stem; Thalamus; Limbic System,5,15,20




Neocortex,Frontal Lobe,"Executive functions; motor skills; reasoning; planning; problem-solving; emotions; and social skills", Thalamus; Basal Ganglia; Limbic System; Parietal Lobe,0,0,0,1
Neocortex,Parietal Lobe,"Sensation; perception; spatial awareness; and the integration of sensory input", Frontal Lobe; Occipital Lobe; Temporal Lobe,0,0,0,2
Neocortex,Temporal Lobe,"Auditory processing; language comprehension; memory; and emotion", Frontal Lobe; Parietal Lobe; Occipital Lobe; Limbic System,0,0,0,3
Neocortex,Occipital Lobe,"Visual processing and interpretation", Parietal Lobe; Temporal Lobe,0,0,0,4
Neocortex,Cingulate Cortex,"Emotional and cognitive processing; attention; and autonomic functions", Limbic System; Frontal Lobe; Parietal Lobe; Thalamus,0,0,0,5
Metencephalon,Cerebellum,"Coordination of voluntary movements; balance; and posture", Brain Stem; Spinal Cord; Thalamus,0,0,0,1
Forebrain,Thalamus,"Sensory relay station; relaying signals between different parts of the brain", Frontal Lobe; Occipital Lobe; Temporal Lobe; Parietal Lobe; Limbic System,0,0,0,1
Forebrain,Hypothalamus,"Regulates body temperature; hunger; thirst; and various aspects of the autonomic nervous system", Thalamus; Limbic System,0,0,0,2
Temporal Lobe,Amygdala,"Emotion processing; particularly fear and pleasure responses", Hippocampus; Thalamus; Frontal Lobe; Temporal Lobe; Limbic System,0,0,0,1
Temporal Lobe,Hippocampus,"Formation of new memories and spatial navigation", Amygdala; Thalamus; Limbic System,0,0,0,2
Temporal Lobe,Wernicke's Area,"Language comprehension", Broca's Area; Temporal Lobe,0,0,0,3
Temporal Lobe,Limbic System,"Regulation of emotions; memory; and arousal", Frontal Lobe; Temporal Lobe; Hypothalamus; Amygdala; Thalamus; Hippocampus,0,0,0,4
Telencephalon,Basal Ganglia,"Motor control; procedural learning; and routine behaviors", Thalamus; Brain Stem; Limbic System,0,0,0,1
Frontal lobe,Broca's Area,"Language production and speech", Wernicke's Area; Frontal Lobe; Limbic System,0,0,0,1
Frontal lobe,Primary Motor Cortex,"Initiating and controlling voluntary movements", Frontal Lobe; Parietal Lobe; Thalamus,0,0,0,2
Frontal Lobe,Prefrontal Cortex,"Higher cognitive functions; decision-making; personality expression; and moderating social behavior", Frontal Lobe; Parietal Lobe; Limbic System; Thalamus,0,0,0,3
Parietal Lobe,Primary Somatosensory Cortex,"Processes tactile sensory information; such as touch and pressure",Thalamus,0,0,0,1




Neocortex,Frontal Lobe,"Executive functions; motor skills; reasoning; planning; problem-solving; emotions; and social skills", Thalamus; Basal Ganglia; Limbic System; Parietal Lobe,0,0,0,1
Neocortex,Parietal Lobe,"Sensation; perception; spatial awareness; and the integration of sensory input", Frontal Lobe; Occipital Lobe; Temporal Lobe,0,0,0,2
Neocortex,Temporal Lobe,"Auditory processing; language comprehension; memory; and emotion", Frontal Lobe; Parietal Lobe; Occipital Lobe; Limbic System,0,0,0,3
Neocortex,Occipital Lobe,"Visual processing and interpretation", Parietal Lobe; Temporal Lobe,0,0,0,4
Neocortex,Cingulate Cortex,"Emotional and cognitive processing; attention; and autonomic functions", Limbic System; Frontal Lobe; Parietal Lobe; Thalamus,0,0,0,5
Metencephalon,Cerebellum,"Coordination of voluntary movements; balance; and posture", Brain Stem; Spinal Cord; Thalamus,0,0,0,1
Forebrain,Thalamus,"Sensory relay station; relaying signals between different parts of the brain", Frontal Lobe; Occipital Lobe; Temporal Lobe; Parietal Lobe; Limbic System,0,0,0,1
Forebrain,Hypothalamus,"Regulates body temperature; hunger; thirst; and various aspects of the autonomic nervous system", Thalamus; Limbic System,0,0,0,2
Temporal Lobe,Amygdala,"Emotion processing; particularly fear and pleasure responses", Hippocampus; Thalamus; Frontal Lobe; Temporal Lobe; Limbic System,0,0,0,1
Temporal Lobe,Hippocampus,"Formation of new memories and spatial navigation", Amygdala; Thalamus; Limbic System,0,0,0,2
Temporal Lobe,Wernicke's Area,"Language comprehension", Broca's Area; Temporal Lobe,0,0,0,3
Temporal Lobe,Limbic System,"Regulation of emotions; memory; and arousal", Frontal Lobe; Temporal Lobe; Hypothalamus; Amygdala; Thalamus; Hippocampus,0,0,0,4
Frontal lobe,Broca's Area,"Language production and speech", Wernicke's Area; Frontal Lobe; Limbic System,0,0,0,1
Frontal lobe,Primary Motor Cortex,"Initiating and controlling voluntary movements", Frontal Lobe; Parietal Lobe; Thalamus,0,0,0,2
Frontal Lobe,Prefrontal Cortex,"Higher cognitive functions; decision-making; personality expression; and moderating social behavior", Frontal Lobe; Parietal Lobe; Limbic System; Thalamus,0,0,0,3
Parietal Lobe,Primary Somatosensory Cortex,"Processes tactile sensory information; such as touch and pressure",Thalamus,0,0,0,1









Parent Area,Area,Function,Connected To,X Coordinate,Y Coordinate,Z Coordinate,Num entry
,Spinal Cord,Conduit for nerve signals between the brain and the rest of the body; Brain Stem,,6.24,-16.6,0,0
,Midbrain,"Contributes to auditory and visual processing; motor control", Brain Stem; Thalamus; Limbic System,1.06,-1.92,0,0
,Neocortex,"The neocortex; a crucial brain region; orchestrates cognitive functions; motor skills; sensory processing; language; memory; and emotional regulation.",,-3.6,10.12,0,0
,Forebrain, "The forebrain is primarily responsible for higher cognitive functions; including sensory processing; emotional regulation; memory; and complex decision-making.", Midbrain; Brain Stem, -0.03,6.62,0,0
,Brain Stem,"Vital autonomic functions such as breathing; heart rate; and blood pressure", Midbrain; Spinal Cord,2.44,-7.98,0,0
,Basal Ganglia L,"Motor control; procedural learning; and routine behaviors", Thalamus; Brain Stem; Limbic System,-1.99,3.63,6.33,1
,Basal Ganglia R,"Motor control; procedural learning; and routine behaviors", Thalamus; Brain Stem; Limbic System,-1.99,3.63,-6.33,1
,Cerebellum,"Coordination of voluntary movements; balance; and posture", Brain Stem; Spinal Cord; Thalamus,7.08,-5.97,0,1
Neocortex,Frontal Lobe,"Executive functions; motor skills; reasoning; planning; problem-solving; emotions; and social skills", Thalamus; Basal Ganglia R; Basal Ganglia L; Limbic System; Parietal Lobe,-9.4,5.5,0,1
Neocortex,Parietal Lobe,"Sensation; perception; spatial awareness; and the integration of sensory input", Frontal Lobe; Occipital Lobe; Temporal Lobe L; Temporal Lobe R,3.1,9,0,2
Neocortex,Temporal Lobe L,"Auditory processing; language comprehension; memory; and emotion", Frontal Lobe; Parietal Lobe; Occipital Lobe; Limbic System,-3.12,-2.86,8.19,3
Neocortex,Temporal Lobe R,"Auditory processing; language comprehension; memory; and emotion", Frontal Lobe; Parietal Lobe; Occipital Lobe; Limbic System,-3.12,-2.86,-8.19,3
Neocortex,Occipital Lobe,"Visual processing and interpretation", Parietal Lobe; Temporal Lobe L; Temporal Lobe R,14.75,-1.08,0,4
Neocortex,Cingulate Cortex,"Emotional and cognitive processing; attention; and autonomic functions", Limbic System; Frontal Lobe; Parietal Lobe; Thalamus,-6.24,5.36,0,5
Forebrain,Thalamus,"Sensory relay station; relaying signals between different parts of the brain", Frontal Lobe; Occipital Lobe; Temporal Lobe L; Temporal Lobe R, ; Parietal Lobe; Limbic System,0.97,0.47,0,1
Forebrain,Hypothalamus,"Regulates body temperature; hunger; thirst; and various aspects of the autonomic nervous system", Thalamus; Limbic System,-2.17,-1.26,0,2
Temporal Lobe L;Temporal Lobe R,Amygdala L,"Emotion processing; particularly fear and pleasure responses", Hippocampus; Thalamus; Frontal Lobe; Temporal Lobe L; Temporal Lobe R; Limbic System,0,0,0,1
Temporal Lobe L;Temporal Lobe R,Hippocampus,"Formation of new memories and spatial navigation", Amygdala L; Thalamus; Limbic System,0,0,0,2
Temporal Lobe L;Temporal Lobe R,Wernicke's Area,"Language comprehension", Broca's Area; Temporal Lobe L; Temporal Lobe R,0,0,0,3
Temporal Lobe L;Temporal Lobe R,Limbic System,"Regulation of emotions; memory; and arousal", Frontal Lobe; Temporal Lobe L; Temporal Lobe R; Hypothalamus; Amygdala L; Thalamus; Hippocampus,0,0,0,4
Frontal lobe,Broca's Area,"Language production and speech", Wernicke's Area; Frontal Lobe; Limbic System,0,0,0,1
Frontal lobe,Primary Motor Cortex,"Initiating and controlling voluntary movements", Frontal Lobe; Parietal Lobe; Thalamus,0,0,0,2
Frontal Lobe,Prefrontal Cortex,"Higher cognitive functions; decision-making; personality expression; and moderating social behavior", Frontal Lobe; Parietal Lobe; Limbic System; Thalamus,0,0,0,3
Parietal Lobe,Primary Somatosensory Cortex,"Processes tactile sensory information; such as touch and pressure",Thalamus,0,0,0,1
